Epoca atual:,Taxa de erro sobre Treinamento:,Taxa de erro sobre Validacao:,
20,0.8623962040332147,0.8648888888888889,
40,0.8499406880189798,0.8551111111111112,
60,0.8469750889679716,0.8524444444444444,
80,0.8401542111506525,0.848,
100,0.83214709371293,0.8382222222222222,
120,0.821767497034401,0.8275555555555556,
140,0.8152431791221827,0.8257777777777778,
160,0.8104982206405694,0.8204444444444444,
180,0.798932384341637,0.8142222222222222,
200,0.7927046263345195,0.8106666666666666,
220,0.7876631079478055,0.8088888888888889,
240,0.7823250296559905,0.7982222222222223,
260,0.7752075919335706,0.7884444444444444,
280,0.7722419928825622,0.7848888888888889,
300,0.7719454329774614,0.7866666666666666,
320,0.7704626334519573,0.7848888888888889,
340,0.7701660735468565,0.7822222222222223,
360,0.7677935943060499,0.7804444444444445,
380,0.7645314353499407,0.7768888888888889,
400,0.7660142348754448,0.7786666666666666,
420,0.7663107947805456,0.7795555555555556,
440,0.7672004744958482,0.7804444444444445,
